Image_Index,Quality,Adaptive_RMSE,Adaptive_BPP,Standard_RMSE,Standard_BPP
97,80,4.912091901683634,3.0069122314453125,5.020336247868928,2.8899993896484375
98,80,4.179654643562447,2.4776763916015625,4.2957888068411565,2.3729705810546875
99,80,6.664478069911847,4.0568389892578125,6.632954746094456,4.08203125
100,80,3.6323091329131487,2.2876739501953125,3.7165336094689767,2.248748779296875
101,80,2.2977594934584964,1.38287353515625,2.3634071505720295,1.364288330078125
102,80,4.952765579099259,3.39044189453125,4.946112095540663,3.408233642578125
103,80,2.754873869605448,1.28271484375,2.8535630824681273,1.2165374755859375
104,80,4.873195216304282,2.4530487060546875,4.962446456863749,2.3412628173828125
105,80,5.023390924486002,2.7425994873046875,5.099189584207485,2.610076904296875
106,80,3.1340080130060195,1.6705780029296875,3.283957681176451,1.5592041015625
107,80,6.297773954907351,3.5839080810546875,6.3390418309580046,3.4671630859375
108,80,3.974706150285803,2.120941162109375,4.126468897832461,1.9793853759765625
109,80,5.855465709777952,3.68939208984375,5.915658067871787,3.57684326171875
110,80,4.990087219576866,2.669525146484375,5.049365174330035,2.588714599609375
111,80,5.802238348140553,3.6632232666015625,5.848163753445125,3.603118896484375
112,80,3.668403445354753,2.226593017578125,3.826942313054629,2.139312744140625
113,80,5.2509372419545555,2.879425048828125,5.296657501526464,2.859375
114,80,4.3982952630198815,2.6705169677734375,4.515592898350428,2.5773773193359375
115,80,4.848020316036281,2.922882080078125,4.896777945219863,2.8781890869140625
116,80,3.578168355132172,2.113433837890625,3.6500584706539576,2.0309295654296875
117,80,4.119678494152462,2.47113037109375,4.212971664873078,2.3916778564453125
118,80,4.396920646714312,2.3993377685546875,4.5296630886789035,2.2668609619140625
119,80,6.380308247516991,3.9068450927734375,6.377388699870173,3.9299163818359375
120,80,4.128972770277773,2.2019805908203125,4.289708749507239,2.0338134765625
121,80,4.073420942980352,2.2448272705078125,4.126863309235233,2.184814453125
122,80,4.635865241930695,2.7725677490234375,4.714910633673627,2.7009429931640625
123,80,3.9383040318722142,2.3525238037109375,4.064192981573507,2.263671875
124,80,5.313455892096274,3.3045806884765625,5.477248326202494,3.09747314453125
125,80,6.5596185080157765,4.4366912841796875,6.601569048936594,4.4238433837890625
126,80,3.7644753712786514,1.70867919921875,3.8539638706500665,1.632080078125
127,80,4.803044794555075,2.9429168701171875,4.888506055542749,2.8555908203125
128,80,5.591694658477502,3.7056732177734375,5.546893797650074,3.7613067626953125
129,80,4.378003061590029,2.3099517822265625,4.558778403322425,2.13592529296875
130,80,3.915847584455695,2.2156219482421875,4.096655050271069,2.0360107421875
131,80,3.5861828733224774,1.90411376953125,3.6607023338627847,1.815704345703125
132,80,6.544530286299718,4.3404998779296875,6.520496623778217,4.36456298828125
133,80,2.485509969063714,1.1852874755859375,2.4544940861765223,1.105010986328125
134,80,4.154065009543739,1.876800537109375,4.225937285280936,1.7768402099609375
135,80,5.674818720001795,3.5201263427734375,5.736632357547768,3.4365692138671875
136,80,5.150989662064749,2.96673583984375,5.2198078354972255,2.884857177734375
